v1, row ID
rat, Rater, 0=Kicker,  1=Bild,  2=SkySports,  3=TheGuardian,  4=WhoScored,  5=SofaScore
kicker, dummy, 1= rater Kicker
bild, dummy, 1= rater Bild
skysports, dummy, 1=rater SkySports
goalkeeper, dummy, 1=position is Goalkeeper
defender, dummy, 1= position is Defender
midfielder, dummy, 1=position is Midfielder
forward, dummy, 1=position is Forward
id, FIFA Player ID
nationality
height
weight
leftfoot, dummy,1=Left foot preferred
preferredposition, preferred FIFA positions
bday, birthday
age, current age as of 2021
age16, age in 2016
age17, age in 2017
age18, age in 2018
